code,name,streetCode,provinceCode,cityCode,areaCode
150426103221,"隋家窝铺村",150426103,15,1504,150426
150426103222,"灯笼村",150426103,15,1504,150426
150426104001,"镇内",150426104,15,1504,150426
150426104201,"巴林道村",150426104,15,1504,150426
150426104202,"高家梁村",150426104,15,1504,150426
150426104203,"兰巴地村",150426104,15,1504,150426
150426104204,"官井子村",150426104,15,1504,150426
150426104205,"黄谷屯村",150426104,15,1504,150426
150426104206,"四分地村",150426104,15,1504,150426
150426104207,"郝家窝铺村",150426104,15,1504,150426
150426104208,"长汉卜罗村",150426104,15,1504,150426
150426104209,"四合岭村",150426104,15,1504,150426
150426104210,"四道沟村",150426104,15,1504,150426
150426104211,"艾林沟村",150426104,15,1504,150426
150426104212,"关东铺子村",150426104,15,1504,150426
150426104213,"马家营子村",150426104,15,1504,150426
150426105001,"镇内",150426105,15,1504,150426
150426105002,"矿区社区",150426105,15,1504,150426
150426105201,"潘家窝铺村",150426105,15,1504,150426
150426105202,"小营子村",150426105,15,1504,150426
150426105203,"下井村",150426105,15,1504,150426
150426105204,"二东荒村",150426105,15,1504,150426
150426105205,"张家店村",150426105,15,1504,150426
150426105206,"双岭村",150426105,15,1504,150426
150426105207,"国公府村",150426105,15,1504,150426
150426105208,"头牌子村",150426105,15,1504,150426
150426105209,"山东营子村",150426105,15,1504,150426
150426105210,"下窝铺村",150426105,15,1504,150426
150426105211,"赵家窝铺村",150426105,15,1504,150426
150426105212,"梧桐花村",150426105,15,1504,150426
150426105213,"西大道村",150426105,15,1504,150426
150426105214,"毛家窝铺村",150426105,15,1504,150426
150426105215,"下洼子村",150426105,15,1504,150426
150426105216,"兴隆沟村",150426105,15,1504,150426
150426105217,"风水沟村",150426105,15,1504,150426
150426105218,"和平营子村",150426105,15,1504,150426
150426105219,"庄头营子村",150426105,15,1504,150426
150426105220,"月明沟村",150426105,15,1504,150426
150426105221,"元宝洼村",150426105,15,1504,150426
150426106001,"镇内",150426106,15,1504,150426
150426106202,"呼勒塔拉嘎查村",150426106,15,1504,150426
150426106203,"散达嘎嘎查村",150426106,15,1504,150426
150426106207,"乌兰吉达盖嘎查村",150426106,15,1504,150426
150426107001,"镇内",150426107,15,1504,150426
150426107201,"北台子村",150426107,15,1504,150426
150426107202,"庙子沟村",150426107,15,1504,150426
150426107203,"田家窝铺村",150426107,15,1504,150426
150426107204,"大东沟村",150426107,15,1504,150426
150426107205,"四方地村",150426107,15,1504,150426
150426107206,"兴隆洼村",150426107,15,1504,150426
150426107207,"水地村",150426107,15,1504,150426
150426107208,"王店营子村",150426107,15,1504,150426
150426107209,"梁后村",150426107,15,1504,150426
150426107210,"陪房营村",150426107,15,1504,150426
150426107211,"头段地村",150426107,15,1504,150426
150426107212,"五段地村",150426107,15,1504,150426
150426107213,"漫甸村",150426107,15,1504,150426
150426107214,"苏家营子村",150426107,15,1504,150426
150426107215,"吴家营子村",150426107,15,1504,150426
150426107216,"老府村",150426107,15,1504,150426
150426107217,"西场村",150426107,15,1504,150426
150426107218,"上府村",150426107,15,1504,150426
150426107219,"高家营子村",150426107,15,1504,150426
150426107220,"旱泡子村",150426107,15,1504,150426
150426107221,"杨树沟门村",150426107,15,1504,150426
150426200200,"解放营子村",150426200,15,1504,150426
150426200201,"三分地村",150426200,15,1504,150426
150426200202,"二分地村",150426200,15,1504,150426
150426200203,"泡子村",150426200,15,1504,150426
150426200204,"二台营子村",150426200,15,1504,150426
150426200205,"西山村",150426200,15,1504,150426
150426200206,"五家村",150426200,15,1504,150426
150426200207,"三道杖房村",150426200,15,1504,150426
150426200208,"二道窝铺村",150426200,15,1504,150426
150426200209,"梅林营子村",150426200,15,1504,150426
150426200210,"太合昌村",150426200,15,1504,150426
150426200211,"新窝铺村",150426200,15,1504,150426
150426200212,"朝阳沟村",150426200,15,1504,150426
150426201200,"巴彦敖包嘎查村",150426201,15,1504,150426
150426201201,"珠日干格日嘎查村",150426201,15,1504,150426
150426201202,"乌兰敖都嘎查村",150426201,15,1504,150426
150426201203,"那林高勒嘎查村",150426201,15,1504,150426
150426201204,"高日苏嘎查村",150426201,15,1504,150426
150426201205,"查干诺尔嘎查村",150426201,15,1504,150426
150426202200,"古特嘎查村",150426202,15,1504,150426
150426202201,"花都什嘎查村",150426202,15,1504,150426
150426202202,"兴隆村",150426202,15,1504,150426
150426202203,"巴彦诺尔嘎查村",150426202,15,1504,150426
150426202204,"昂其嘎查村",150426202,15,1504,150426
150426202205,"巴彦舒海嘎查村",150426202,15,1504,150426
150426202206,"达日罕嘎查村",150426202,15,1504,150426
150426202207,"巴彦温都嘎查村",150426202,15,1504,150426
150426202208,"宝音太嘎查村",150426202,15,1504,150426
150426202209,"乌兰套亚嘎查村",150426202,15,1504,150426
150426202210,"上号村",150426202,15,1504,150426
150426202211,"中号村",150426202,15,1504,150426
150426202212,"三合村",150426202,15,1504,150426
150426202213,"白沙沱村",150426202,15,1504,150426
150426202214,"鲜兴嘎查村",150426202,15,1504,150426
150426203200,"白音套海嘎查村",150426203,15,1504,150426
150426203201,"小农场嘎查村",150426203,15,1504,150426
150426203202,"宝泉嘎查村",150426203,15,1504,150426
150426203203,"双河嘎查村",150426203,15,1504,150426
150426203204,"达楞嘎查村",150426203,15,1504,150426
150426203205,"瑙门花嘎查村",150426203,15,1504,150426
150426203206,"四十八倾嘎查村",150426203,15,1504,150426
150426203207,"敖包布朗嘎查村",150426203,15,1504,150426
150426203208,"横道嘎查村",150426203,15,1504,150426
150426203209,"王家湾子嘎查村",150426203,15,1504,150426
150426203210,"高日罕嘎查村",150426203,15,1504,150426
150426203211,"呼日黑热嘎查村",150426203,15,1504,150426
150426203212,"浩日沁塔拉嘎查村",150426203,15,1504,150426
150426204200,"苦力吐村",150426204,15,1504,150426
150426204201,"毛山东村",150426204,15,1504,150426
150426204202,"黑水村",150426204,15,1504,150426
150426204203,"房身沟村",150426204,15,1504,150426
150426204204,"来三站村",150426204,15,1504,150426
150426204205,"油房村",150426204,15,1504,150426
150426204206,"布格吐村",150426204,15,1504,150426
150426204207,"烧锅村",150426204,15,1504,150426
150426204208,"沟门村",150426204,15,1504,150426
150426204209,"井架子村",150426204,15,1504,150426
150426205200,"赛罕塔拉嘎查",150426205,15,1504,150426
150426205201,"布日敦嘎查",150426205,15,1504,150426
